"ID","Opcoes","Informacao"
11,"11 - Posições doadoras em empréstimo de ações (BTC)","O empréstimo de ações é uma operação em que investidores doadores emprestam aos investidores tomadores, por prazo determinado, e mediante a cobrança de uma taxa livremente pactuada, certa quantidade de ações. Geralmente, os doadores são investidores de longo prazo, sem interesse em se desfazer das ações pelo menos durante o prazo do contrato, e ganham um rendimento adicional com a operação. Os tomadores, por outro lado, são investidores que demandam o ativo temporariamente, seja para viabilizar determinada estratégia, como uma venda a descoberto, seja para liquidar outra operação já realizada. O seu retorno tem relação com a variação do preço das ações e o seu risco é alto."
12,"12 - Fundos Multimercado sem alavancagem","Os fundos multimercados se caracterizam por não terem obrigação mínima para alocar em nenhum tipo de ativo. Assim, eles se subdividem em classes com e sem renda variável e com e sem alavancagem, balanceados e de capital protegido, sem praticar alavancagem com os recursos. Seu retorno é variável, com risco médio e alto"
13,"13 - Clube de Investimento","Um Clube de Investimento é um tipo de associação sem personalidade jurídica e com fins lucrativos que congrega exclusivamente pessoas físicas interessadas com o mesmo fim relacionadas com o investimento no mercado de capitais especificamente, mas que terão seus interesses guiados por um gestor encarregado de tomar conta do processo de tomada de decisão. Pela diversificação, o risco acaba sendo menor e depende do tipo de investimento guiado pelo gestor. Seu retorno varia conforme essas mesmas questões."
14,"14 - Fundo de Ações","Fundos de ações têm como objetivo investir no mercado acionário. Por definição, devem aplicar no mínimo 67% – ou dois terços – do seu patrimônio em ações negociadas em mercados organizados, como bolsas de valores, ou em outros ativos relacionados a esse segmento. Seu retorno é variável e tem risco médio ou alto."
15,"15 - Fundo Cambial","Os fundos cambiais investem em ativos atrelados a moedas estrangeiras. Por via de regra, eles têm a finalidade de proteger os investidores contra as flutuações de sua moeda nacional em relação à uma moeda estrangeira que tenha maior força na economia mundial. Seu retorno varia conforme os câmbios e tem risco médio ou alto."
16,"16 - Fundo de Investimento em Direitos Creditórios (FIDC)","Os FIDCs são uma forma de investimento em renda fixa constituídos sob a forma de condomínio aberto, em que os cotistas podem solicitar o resgate de suas cotas de acordo com o disposto no regulamento do fundo, ou fechado, em que as cotas somente são resgatadas ao término do prazo de duração do fundo, de cada série ou classe de cotas conforme seu regulamento, ou em virtude de sua liquidação. Tem retorno variável, com risco alto."
17,"17 - Fundo de Investimento em Participações (FIP)","O Fundo de Investimento em Participações (FIP) é uma comunhão de recursos destinados à aplicação em companhias abertas, fechadas ou sociedades limitadas, em fase de desenvolvimento. Cabe ao administrador constituir o fundo e realizar o processo de captação de recursos junto aos investidores através da venda de cotas. Seu retorno é variável e risco alto."
18,"18 - Fundos de Investimento Imobiliários (FII)","Fundos Imobiliários (FII) são fundos de investimento destinados à aplicação em empreendimentos imobiliários, o que inclui, além da aquisição de direitos reais sobre bens imóveis, o investimento em títulos relacionados ao mercado imobiliário, como letras de crédito imobiliário (LCI), letras hipotecárias (LH), cotas de outros FII, certificados de potencial adicional de construção, (CEPAC), certificados de recebíveis imobiliários (CRI), e outros previstos na regulamentação. Tem risco alto e retorno variável."
19,"19 - Ouro à vista","Ativo internacionalmente aceito, o ouro é uma alternativa de investimento para quem busca rentabilidade, segurança e proteção. A negociação do ouro como produto financeiro no Brasil é realizada na B3 sob forma de lingotes de ouro fino, fundido por empresa refinadora e custodiado em instituição depositária, ambas credenciadas pela B3. O retorno é variável e o risco é baixo."
20,"20 - Brazilian Depositary Receipt (BDR)","BDR, os Brazilian Depositary Receipts são certificados que representam ações emitidas por empresas em outros países, mas que são negociados aqui, no pregão da B3. É como se fossem valores mobiliários lastreados em papéis de companhias estrangeiras e, desde setembro de 2020, também brasileiras. Seu retorno é relacionado a variações cambiais e do preço da ação correspondente, com alto risco."
21,"21 - Derivativos","Derivativo é um contrato mútuo no qual se estabelece um valor econômico derivado do seu valor temporal baseado num ativo base como referência. O ativo base pode ser um título financeiro, um valor financeiro ou um valor materialista. Existem derivativos de ativos físicos, como soja, café ou outro, mas também de ativos financeiros, como ações, taxas de juros ou moedas. São 4 tipos de Derivativos: Contratos futuros, a termo, Opções e Swaps, com retornos variáveis e risco altíssimo."
22,"22 - Posições tomadoras em empréstimos de ações (BTC)","O empréstimo de ações é uma operação em que investidores doadores emprestam aos investidores tomadores, por prazo determinado, e mediante a cobrança de uma taxa livremente pactuada, certa quantidade de ações. Geralmente, os doadores são investidores de longo prazo, sem interesse em se desfazer das ações pelo menos durante o prazo do contrato, e ganham um rendimento adicional com a operação. Os tomadores, por outro lado, são investidores que demandam o ativo temporariamente, seja para viabilizar determinada estratégia, como uma venda a descoberto, seja para liquidar outra operação já realizada. O seu retorno tem relação com a variação do preço das ações e o seu risco é alto."
23,"23 - Fundo Multimercado com Alavancagem","Os fundos multimercados se caracterizam por não terem obrigação mínima para alocar em nenhum tipo de ativo. Assim, eles se subdividem em classes com e sem renda variável e com e sem alavancagem, balanceados e de capital protegido, mas praticando alavancagem com os recursos. Seu retorno é variável, com risco altíssimo."
